epoch,loss,accuracy
0,1.7118372878661523,0.41192307692307695
1,1.1464581892429253,0.6219871794871795
2,0.883394876519839,0.7121153846153846
3,0.7171309793148285,0.7657692307692308
4,0.570489842570745,0.8119871794871795
5,0.4621461331500457,0.8481410256410257
6,0.358625718553861,0.8831410256410256
7,0.2769367275845546,0.9094871794871795
8,0.1917013288040956,0.9342948717948718
9,0.15098639603751973,0.948076923076923
10,0.11701308403188028,0.9598076923076924
11,0.11684724100746023,0.9612820512820512
12,0.08909613088794197,0.9705128205128205
13,0.07617440608828567,0.9746153846153847
14,0.07867261596495667,0.9741666666666666
15,0.06682232888866192,0.9775
16,0.06334894304648818,0.9791025641025641
17,0.05631456954985296,0.9804487179487179
18,0.05217826594087409,0.9816666666666667
19,0.040575679110128805,0.9864102564102564
