epoch,loss,accuracy
0,1.8137876160328206,0.3655128205128205
1,1.4771238746398534,0.49756410256410255
2,1.2603354205229345,0.5792307692307692
3,1.1181131818355659,0.6276923076923077
4,1.012038070391386,0.661923076923077
5,0.9213204689209278,0.6938461538461539
6,0.8361886899746381,0.7228205128205129
7,0.7513784744342168,0.7466025641025641
8,0.6589620547416882,0.7798717948717949
9,0.5640761756973389,0.8137820512820513
10,0.47212357457631676,0.8430769230769231
11,0.3824826571307121,0.8748717948717949
12,0.3037153124102415,0.8980769230769231
13,0.23544729727869615,0.9209615384615385
14,0.1901007564709737,0.9358333333333333
15,0.16031774594341047,0.9467948717948718
16,0.12525170725113594,0.9587820512820513
17,0.1287408539877297,0.9569871794871795
18,0.11393621148063969,0.9615384615384616
19,0.0923108822833269,0.9685897435897436
