epoch,loss,accuracy
0,1.8356314930549034,0.3632051282051282
1,1.421766381019201,0.5195512820512821
2,1.2480814337119077,0.5785256410256411
3,1.1125197119896229,0.6273717948717948
4,0.9978441668168092,0.6730769230769231
5,0.9099975886558875,0.698974358974359
6,0.8184241103820312,0.73
7,0.7311045621755795,0.7563461538461539
8,0.6485715161225735,0.7833974358974359
9,0.5464058711513495,0.8178846153846154
10,0.4535704932610194,0.8493589743589743
11,0.37022398946567986,0.8776282051282052
12,0.2833040021092464,0.9017948717948718
13,0.22210585373668718,0.9233333333333333
14,0.1793811603788382,0.9407692307692308
15,0.14842075850957862,0.9494230769230769
16,0.11880224124313547,0.9596794871794871
17,0.11098135276715486,0.9631410256410257
18,0.09172875854950875,0.9683333333333334
19,0.09520517490380324,0.9687179487179487
