epoch,loss,accuracy
0,1.8211250420826584,0.374160447761194
1,1.3896514728887757,0.5400186567164179
2,1.1099902480395871,0.6360074626865672
3,0.960481406592611,0.6832089552238806
4,0.8255340203642845,0.7321828358208955
5,0.7405519152087952,0.7603544776119403
6,0.6501494526418288,0.7874067164179105
7,0.5639318482199711,0.8174440298507463
8,0.4746022254951409,0.8445895522388059
9,0.3953852487005182,0.8673507462686567
10,0.3161517015839023,0.8972014925373134
11,0.2450779258273542,0.9189365671641792
12,0.19049271143097152,0.9362873134328358
13,0.1418977164736351,0.952705223880597
14,0.1406331505774131,0.9525186567164179
15,0.10522143094723961,0.9649253731343284
16,0.0912741899389579,0.9703358208955224
17,0.10259454853058647,0.9639925373134328
18,0.0775197336915446,0.9728544776119403
19,0.0773924672070008,0.9747201492537313
